,Title,Company,Location,Salary,Snippet,Job_Type
175,Permits and Compliance Manager,RePhil Station Inc,Pasig,,The position will be in charge also of keeping pertinent company documents as the Company's Document Controller.,manager
176,OPERATIONS MANAGER,Tamaray People Solutions,Makati,,"Manage and oversee program in operations staffing, service quality, budget, and SLAs.",manager
177,Tenant Representation Manager,KMC Mag Group,Fort Bonifacio,,Work Schedule: Flexible Schedule Per Day.,manager
178,Customer Service Operations Manager,Security Bank Careers,Makati,,"As a Customer Service Operations Manager, you will develop and drive objectives for the contact center operations and service delivery model.",manager
179,Chinese Operations Manager (145340),Shangri-La Hotels,Manila,,The new hotel will complement the company’s five existing properties in the Philippines.,manager
180,Director of Operations,ClearSource,Remote in Pasig,,"Develop, review quarterly and disseminate role definitions for all positions under management.",manager
181,Duty Manager,Park Inn by Radisson North EDSA,Quezon City,,"§ On the day of arrival, ensure all special requests are followed up.",manager
182,Head of Global Field Operations - Philippines,SAP,Taguig,,The role is a key member of the SEA Global Business Operations Team and reports into the SEA Head of Global Field Operations.,manager
183,SERVICE OPERATION MANAGER,V3 Inc (Julian Motors),Quezon City,"PHP 30,000 a month",Oversees team inventory or warehouse employees.,manager
184,Head of Operations (Phillipines),GfK,Makati,,Ensure Quality in Operations by leading individual teams to achieve their defined quality KPIs.,manager
185,Country PR Lead/Head,Netflix,Manila,,You will have deep relationships with the media; an instinctive ability to tell stories; and the ability to think strategically.,manager
186,Head of Operational Excellence & Service Quality (Global Cus...,Canva,Remote in Manila,,Our aim is to provide excellent customer service and to promote this idea throughout the organization.,manager
187,Inventory Manager,"BELL-KENZ PHARMA, INC.",Quezon City,"PHP 60,000 - PHP 80,000 a month",4 year course major in Industrial Engineering or Accountancy.,manager
188,MIS Manager,Kitchen Beauty Marketing Corporation,Quezon City,,Develop and maintain broad knowledge of technology relative to the Company's requirements and serving the needs of every stakeholder.,manager
189,Retail Store Manager,QUINCY SUPERMARKET,Quezon City,"PHP 962 - PHP 1,154 a day",\* Must be a graduate of a 4-year course or an equivalent thereof.,manager
190,Operations Manager,Bassbest Automation Surveillance & Security...,Quezon City,"PHP 35,000 - PHP 40,000 a month","Ü Improve the operational systems, processes and policies in support of organizations mission -- specifically, support better management reporting, information…",manager
191,Head of Operations,"CloudEats, Inc.",Makati,,The ideal candidate will be able to think on a micro and macro level to implement changes at scale.,manager
192,Retail Operations Manager,Sperry,"Quezon City
+1 location",,Accountable for the efficient daily operations and attainment of sales quota of the brand nationwide with close coordination with the Brand and other Retail…,manager
193,Operations Manager,Philippine Aslam Corp.,Valenzuela,,"Responsible for all department managers and supervisors, with review/approval responsibility for all operations employees.",manager
194,Assistant Station Head,SUNLIGHT EXPRESS AIRWAYS CORPORATION,Parañaque,,Responsible for directing all Ground Handling Service Provider.,manager
195,Director of Operations,24-7 Intouch,Manila,,Drive “best practices” in all areas of responsibility.,manager
196,"Manager, Facilities",Vista,Taguig,,The Facilities Manager will report to the Director and Manila Site Lead.,manager
197,Store Manager,Ace Hardware,"Valenzuela
+1 location","PHP 20,000 - PHP 25,000 a month",With atleast 3 years managerial experience in Retail and/or in the Food Industry.,manager
198,Employee Relations Manager,Golden Donuts Inc.,Mandaluyong,"PHP 50,000 - PHP 60,000 a month","Candidate must possess at least Bachelor's/College Degree in Human Resource Management, Psychology or equivalent.",manager
199,Credit & Collection Head,"Achieve Without Borders, Inc. (AWB)",Makati,"PHP 30,000 - PHP 35,000 a month",Oversee the collection department of the company and responsible for the correct invoicing of clients and the timely receiving of payment.,manager
200,ASSISTANT MANAGER - PARKING & TRANSPORTATION,Grand Hyatt Manila,Manila,,We are looking for a well-experienced Assistant Manager – Parking & Transportation who will ensure the smooth and efficient running of the hotel’s Parking…,manager
201,Duty Manager,MGALLERY,Manila,,Responsible in handling and addressing guest concerns & ensures the provision of quality guest service at all times.,manager
202,Cross-Border Logistics Manager,QuadX Inc.,Makati,,To take the anxiety out of payment and delivery and make the world both marketplace and playground.,manager
203,Management Trainee,SM SUPERMALLS,Pasay,,The Supermalls Management In-Training Program is looking for young and dynamic individuals.,manager
204,Customer Service Team Lead,Renren Giantly Philippines,Temporarily Remote in Mandaluyong,"PHP 45,000 a month",Candidate must have attained at least 2 years college level.,manager
205,Training Manager,"Nippon Hasha, inc",Pasay,"PHP 42,000 - PHP 54,000 a month","Determines training needs and requirements for an company or group by meeting with managers, talking with employees, or administering surveys.",manager
206,Store Managers,CITISTORES INC.,Pasig,,"Bachelors/College Degree, Business Studies/Administration/Management, Commerce or equivalent.",manager
207,Customer Experience Team Manager – English Team,Agoda,Manila,,"The team manager of operations will provide directions, instructions and guidance to the customer care specialists to achieve a certain goal.",manager
208,"Senior Operations Manager (3PL, fulfillment)",aCommerce,Taguig,,Responsible for the overall operational execution of WH Outsource provider and day to day of operations.,manager
209,WW Services Customer Engagement Center - NA APOS Vendor Mana...,Lenovo,Manila,,Engaging in cross Region and Geo communication and cooperation and will act as Geo focal point.,manager
210,Operations Director | BPO,ClearSource BPO Inc.,Pasig,,"Develop, review quarterly and disseminate role definitions for all positions under management.",manager
211,"Director, Operations",Bill Gosling Outsourcing,Manila,,"Vision, strategy and innovation come to life through execution.",manager
212,Field Operations Manager - GMA,Reckitt,Makati,,Competitive Salary & excellent benefits package.,manager
213,BUSINESS DEVELOPMENT HEAD (Online Gaming),Tamaray People Solutions,Makati,"PHP 50,000 - PHP 85,000 a month","You will be responsible for leading all aspects of B2B Lead Generation, including goal-setting, strategy, reporting, analysis, market research, and execution.",manager
214,Operations Director,Targets RMS,Ortigas,,"Develop, review quarterly and disseminate role definitions for all positions under management.",manager
215,Operations Manager,"Intelassist, Inc.",Temporarily Remote in Eastwood City,"PHP 70,000 - PHP 100,000 a month","The Operations Manager will be in charge of providing a strong leadership for the operation in supporting the company’s several lines of businesses, which…",manager
216,Operations Support Manager,"Nippon Hasha, inc",Makati,"PHP 60,000 a month","Lead, motivate, and support a large team within a time-sensitive and demanding environment, including setup and implementation of career development plans for…",manager
217,Operations Manager,Orbis Business Solutions Inc.,Remote in Mandaluyong,,Manage Team Leaders to ensure client satisfaction and business end goals are met and performed in an efficient manner.,manager
218,Business Development Manager,IMAPAC Pte Ltd,Remote in Manila,"PHP 50,000 a month",Work closely with the clients to deliver solutions that solve their business challenges.,manager
219,BPO Director of Operations,HR Primo Management Services,Makati,,"The Director is responsible for managing the overall operations of the Company and ensuring that agreed metrics, service levels and quality are met which result…",manager
220,Service Deliver Manager,Eastvantage,Remote in Taguig,"PHP 50,000 - PHP 100,000 a month","Manage the development, implementation, and maintenance of policies, processes and procedures for Service Desk and the continuous development of Knowledge base.",manager
221,Operations Director,Shore Solutions,Quezon City,,"As an Acquire BPO employee, you are responsible for complying and enforcing policies and procedure designed to achieve information security.",manager
222,LOGISTICS HEAD,Riverbanks Center,Marikina,,Must be a graduate of any business-related course (with good scholastic records).,manager
223,Operations Group Manager | Libis Site,WNS Global Services Philippines Inc.,Quezon City,"PHP 90,000 - PHP 100,000 a month","Conduct staff performance reviews to assess needs, cost/benefit analysis, and other operational strategy assessments.",manager
224,Team Lead (Sales Operations),iSupport Worldwide,Pasig,"PHP 40,000 - PHP 45,000 a month",Deliver World Class Customer Service.,manager
225,Director of Operations Support & Implementations,24-7 Intouch,Manila,,"Ability to effectively present information to groups of managers, clients, and customers.",manager
226,Assistant Manager (Operations),SM Development Corporation,Manila,,Manages and trains a staff of 6-8 persons.,manager
